"Name","Team","PA","wOBA","wRC+","EV","maxEV","HardHit","HardHit%","GB%","LD%","FB%","Pull%","Cent%","Oppo%","Soft%","Med%","Hard%","O-Contact% (pfx)","Z-Contact% (pfx)","playerid"
"Jedd Gyorko","- - -","2983",".318","101","87.5","110.6","470","34.1%","40.7%","20.8%","38.6%","42.8%","34.0%","23.3%","16.5%","49.4%","34.1%","54.0%","83.9%","10816"
"John Farrell","- - -","2398",".318","95","","","","","","","","","","","","","","","","1003947"
"Ryan Thompson","- - -","1385",".318","92","","","","","34.3%","22.2%","43.4%","46.0%","25.0%","29.0%","22.0%","50.0%","28.0%","","","713"
"Ron Coomer","- - -","3238",".318","84","","","","","47.2%","20.2%","32.6%","41.0%","30.3%","28.6%","16.7%","65.8%","17.5%","","","816"
"Bennie Tate","- - -","1713",".318","79","","","","","","","","","","","","","","","","1012834"
"Craig Grebeck","- - -","2299",".318","90","","","","","","","","","","","","","","","","1004982"
"Doug Mirabelli","- - -","1655",".318","88","","","0","","39.7%","17.9%","42.3%","48.2%","28.0%","23.7%","14.0%","55.9%","30.0%","54.2%","76.4%","202"
"Jose Tabata","Pirates","1765",".318","101","93.5","107.0","15","48.4%","60.1%","17.8%","22.1%","30.4%","39.7%","29.9%","17.3%","57.0%","25.6%","62.2%","89.7%","2411"
"Nomar Mazara","- - -","2338",".318","90","89.2","117.8","637","38.9%","49.4%","20.0%","30.5%","36.2%","35.8%","28.1%","19.4%","45.4%","35.3%","61.4%","85.2%","14553"
"Eddie Bressoud","- - -","4106",".318","94","","","","","","","","","","","","","","","","1001397"
"Melvin Upton Jr.","- - -","5858",".318","98","88.3","110.7","178","36.3%","44.5%","18.2%","37.3%","39.5%","34.4%","26.1%","17.3%","52.4%","30.3%","52.1%","78.3%","5015"
"Jean Segura","- - -","4657",".318","97","87.9","113.1","852","32.3%","55.3%","18.7%","26.0%","30.3%","40.6%","29.1%","21.0%","52.4%","26.7%","72.7%","91.5%","5933"
"Cozy Dolan","- - -","3487",".318","94","","","","","","","","","","","","","","","","1003360"
"Bob Scheffing","- - -","1474",".318","84","","","","","","","","","","","","","","","","1011535"
"Frank Gibson","- - -","1238",".318","81","","","","","","","","","","","","","","","","1004667"
"Ryon Healy","- - -","1606",".318","101","88.9","112.7","466","40.0%","42.5%","18.9%","38.6%","42.5%","34.6%","22.8%","17.5%","49.1%","33.4%","54.5%","87.2%","15447"
"Ted Savage","- - -","1613",".318","98","","","","","","","","","","","","","","","","1011470"
"Dick Higham","- - -","1804",".318","115","","","","","","","","","","","","","","","","1005794"
"Joe Evans","- - -","2362",".318","80","","","","","","","","","","","","","","","","1003867"
"Sherry Robertson","- - -","1728",".318","83","","","","","","","","","","","","","","","","1011047"
"Bill Sudakis","- - -","1751",".318","101","","","","","","","","","","","","","","","","1012668"
"Steve Buechele","- - -","4790",".318","94","","","","","","","","","","","","","","","","1001630"
